Loi,E,F,N
a::06.3291,"Vaddere, de, Petrus","Vaddere, de, Petrus","Vaddere, de, Petrus"
a::06.3293,"Velde, van de, Peeter","Velde, van de, Peeter","Velde, van de, Peeter"
a::06.3294,"Velpius, Rutgeert","Velpius, Rutgeert","Velpius, Rutgeert"
a::06.3295,"Velpius, Rutgeert & Huybrecht I Anthoon","Velpius, Rutgeert & Huybrecht I Anthoon","Velpius, Rutgeert & Huybrecht I Anthoon"
a::06.3300,"Verdussen, Franciscus","Verdussen, Francois","Verdussen, Franciscus"
a::06.3301,"Verdussen, Guilliam","Verdussen, Guilliam","Verdussen, Guilliam"
a::06.3304,"Verdussen, Hieronymus I","Verdussen, Hieronymus I","Verdussen, Hieronymus I"
a::06.3305,"Verdussen, Hieronymus I & Guilliam Lesteens","Verdussen, Hieronymus I & Guilliam Lesteens","Verdussen, Hieronymus I & Guilliam Lesteens"
a::06.3306,"Verdussen, Hieronymus II","Verdussen, Hieronymus II","Verdussen, Hieronymus II"
a::06.3307,"Verdussen, Hieronymus IV","Verdussen, Hieronymus IV","Verdussen, Hieronymus IV"
a::06.3308,"Verdussen, Hieronymus III","Verdussen, Hieronymus III","Verdussen, Hieronymus III"
a::06.3309,"Verdussen, Hieronymus III & Joannes Baptista I","Verdussen, Hieronymus III & Joannes Baptista I","Verdussen, Hieronymus III & Joannes Baptista I"
a::06.3311,"Verdussen, Hieronymus V","Verdussen, Hieronymus V","Verdussen, Hieronymus V"
a::06.3312,"Verdussen, Joannes Baptista I","Verdussen, Joannes Baptista I","Verdussen, Joannes Baptista I"
a::06.3317,"Verhoeven, Abraham","Verhoeven, Abraham","Verhoeven, Abraham"
a::06.3320,"Verhulst, Gillis","Verhulst, Gillis","Verhulst, Gillis"
a::06.3321,"Verhulst, Godtgaf II","Verhulst, Godtgaf II","Verhulst, Godtgaf II"
a::06.3324,"Verhulst, Martinus I","Verhulst, Martinus I","Verhulst, Martinus I"
a::06.3325,"Verhulst, Martinus II","Verhulst, Martinus II","Verhulst, Martinus II"
a::06.3328,"Vermout, Jacobus","Vermout, Jacobus","Vermout, Jacobus"
a::06.3329,"Verschueren, Cornelis","Verschueren, Cornelis","Verschueren, Cornelis"
a::06.3337,"Vivien, Franciscus","Vivien, François","Vivien, Franciscus"
a::06.3338,"Vleugaert, Philips","Vleugaert, Philips","Vleugaert, Philips"
a::06.3339,"Vleugaert, Philips [Widow]","Vleugaert, Philips [Veuve]","Vleugaert, Philips [Weduwe]"
a::06.3343,"Vryenborch, Jan","Vryenborch, Jan","Vryenborch, Jan"
a::06.3345,"Walker, Robert","Walker, Robert","Walker, Robert"
a::06.3349,"Willemsens, Joris I","Willemsens, Joris I","Willemsens, Joris I"
a::06.3350,"Willemsens, Joris I [Widow]","Willemsens, Joris I [Veuve]","Willemsens, Joris I [Weduwe]"
a::06.3353,"Witte, de, Adrianus","Witte, de, Adrianus","Witte, de, Adrianus"
a::06.3354,"Witte, de, Everaert [Widow]","Witte, de, Everaert [Veuve]","Witte, de, Everaert [Weduwe]"
a::06.3355,"Wolsschaten, van, Balthazar I","Wolsschaten, van, Balthazar I","Wolsschaten, van, Balthazar I"
a::06.3356,"Wolsschaten, van, Geeraerdt I","Wolsschaten, van, Geeraerdt I","Wolsschaten, van, Geeraerdt I"
a::06.3359,"Woons, Cornelis","Woons, Cornelis","Woons, Cornelis"
a::06.3360,"Woons, Jacobus","Woons, Jacobus","Woons, Jacobus"
a::06.3361,"Woons, Jacobus [Widow]","Woons, Jacobus [Veuve]","Woons, Jacobus [Weduwe]"
a::06.3385,"Anthoon Velpius, Marcel","Anthoon Velpius, Marcel","Anthoon Velpius, Marcel"
a::06.3393,"Meeren, vander, Cornelis","Meeren, vander, Cornelis","Meeren, vander, Cornelis"
a::06.3394,"Bie, de, Cornelis","Bie, de, Cornelis","Bie, de, Cornelis"
a::06.3395,"Boutman, Gerrit","Boutman, Gerrit","Boutman, Gerrit"
a::06.3397,"Wouterszoon, Hendrik","Wouterszoon, Hendrik","Wouterszoon, Hendrik"
a::06.3400,"Conincx, Jan II","Conincx, Jan II","Conincx, Jan II"
a::06.3405,"Gymnicus, Guillelmus Engelbertsz. [Widow]","Gymnicus, Guillelmus Engelbertsz. [Veuve]","Gymnicus, Guillelmus Engelbertsz. [Weduwe]"
a::06.3429,"Does, Thomas [Fictitious printer]","Does, Thomas [Imprimeur fictif]","Does, Thomas [Fictieve drukker]"
a::06.3441,"Stockum, van, Joannes","Stockum, van, Joannes","Stockum, van, Joannes"
a::06.3447,"Bouttats, Gaspar","Bouttats, Gaspar","Bouttats, Gaspar"
a::06.3449,"Scheybels, Guilliam [Widow]","Scheybels, Guilliam [Veuve]","Scheybels, Guilliam [Weduwe]"
a::06.3450,"Lipsius, Theodorus","Lipsius, Theodorus","Lipsius, Theodorus"
a::06.3451,"Monsieur, Gillis","Monsieur, Gillis","Monsieur, Gillis"
a::06.3452,"Wyckmans, François","Wyckmans, François","Wyckmans, François"
a::06.3453,"Anthoon Velpius, Jan Theodore","Anthoon Velpius, Jean Theodor","Anthoon Velpius, Jan Theodore"
a::06.3454,"Michiels, Alexander I","Michiels, Alexander I","Michiels, Alexander I"
a::06.3456,"Clouwet, Joannes [Widow and heirs]","Clouwet, Joannes [Veuve et héritiers]","Clouwet, Joannes [Weduwe en erfgenamen]"
a::06.3457,"Groot, de, Michiel","Groot, de, Michiel","Groot, de, Michiel"
a::06.3458,"Dwinglo, Bernardus","Dwinglo, Bernardus","Dwinglo, Bernardus"
a::06.3459,"Horick, vanden, Jan","Horick, vanden, Jan","Horick, vanden, Jan"
a::06.3460,"Jaye, Robert","Jaye, Robert","Jaye, Robert"
a::06.3461,"Jaye, Andreas","Jaye, Andreas","Jaye, Andreas"
a::06.3462,"Vleugaert, Peeter","Vleugaert, Peeter","Vleugaert, Peeter"
a::06.3463,"Hastens, van, Hendrik [Widow]","Hastens, van, Hendrik [Veuve]","Hastens, van, Hendrik [Weduwe]"
a::06.3464,Fraternity of Our Lady of Seven Sorrows,Fraternité de Notre-Dame des Sept Douleurs,Broederschap van de zeven weeën van Maria
a::06.3465,"Thieullier, Hendrik I [Widow and heirs]","Thieullier, Hendrik I [Veuve et héritiers]","Thieullier, Hendrik I [Weduwe en erfgenamen]"
a::06.3466,"Bettens, Zacharias","Bettens, Zacharias","Bettens, Zacharias"
a::06.3468,"Maire, le, Joannes","Maire, le, Joannes","Maire, le, Joannes"
a::06.3470,"Beernaerts, Jacobus I","Beernaerts, Jacobus I","Beernaerts, Jacobus I"
a::06.3472,Romeynen,Romeynen,Romeynen
a::06.3473,"Huet, Godefroy","Huet, Godefroy","Huet, Godefroy"
a::06.3474,"Waermont, Christoffel","Waermont, Christoffel","Waermont, Christoffel"
a::06.3483,"Foppens, Franciscus II","Foppens, François II","Foppens, Franciscus II"
a::06.3485,"Jolly, Thomas","Jolly, Thomas","Jolly, Thomas"
a::06.3486,"Keerberghen, van, Peeter","Keerberghen, van, Peeter","Keerberghen, van, Peeter"
a::06.3487,"Molyns, Jan","Molyns, Jan","Molyns, Jan"
a::06.3488,"Savio, Francisco","Savio, Francisco","Savio, Francisco"
a::06.3489,"Sievensi, Anthone","Sievensi, Anthone","Sievensi, Anthone"
a::06.3494,"Zangrius, Joannes Baptista","Zangrius, Joannes Baptista","Zangrius, Joannes Baptista"
a::06.3495,"Moretus, Balthasar II [Widow and heirs]","Moretus, Balthasar II [Veuve et héritiers]","Moretus, Balthasar II [Weduwe en erfgenamen]"
