Loi,E,F,N
a::06.6583,"Zangrius, Petrus I","Zangrius, Petrus I","Zangrius, Petrus I"
a::06.6584,"Vleugaert, Joannes I [Widow]","Vleugaert, Joannes I [Veuve]","Vleugaert, Joannes I [Weduwe]"
a::06.6585,"Lekens, Jacobus","Lekens, Jacobus","Lekens, Jacobus"
a::06.6588,"Frakenner, Philippe [Fictitious printer]","Frakenner, Philippe [Imprimeur fictif]","Frakenner, Philippe [Fictieve drukker]"
a::06.6589,"Berbie, Gerardus","Berbie, Gerardus","Berbie, Gerardus"
a::06.6590,Liberty [Fictitious printer],Liberté [Imprimeur fictif],Vrijheid [Fictieve drukker]
a::06.6591,"Verdussen, Joannes Hieronymus","Verdussen, Joannes Hieronymus","Verdussen, Joannes Hieronymus"
a::06.6592,"Cranenbroeck, van, Gillis","Cranenbroeck, van, Gillis","Cranenbroeck, van, Gillis"
a::06.6593,"Laet, de, Hans","Laet, de, Hans","Laet, de, Hans"
a::06.6594,"Holtrop, Willem","Holtrop, Willem","Holtrop, Willem"
a::06.6595,"Lemaire, Louis","Lemaire, Louis","Lemaire, Louis"
a::06.6596,"Salenson, van, Gerard","Salenson, van, Gerard","Salenson, van, Gerard"
a::06.6597,"Bassompierre, Jean-François I","Bassompierre, Jean-François I","Bassompierre, Jean-François I"
a::06.6598,"Ribbius, Johannes","Ribbius, Johannes","Ribbius, Johannes"
a::06.6600,"Valckenier, Gillis Jansz","Valckenier, Gillis Jansz","Valckenier, Gillis Jansz"
a::06.6601,"Braau, Claes","Braau, Claes","Braau, Claes"
a::06.6603,"Tutot, Jean Jacques","Tutot, Jean Jacques","Tutot, Jean Jacques"
a::06.6604,"Bloemen, van, Gerardus","Bloemen, van, Gerardus","Bloemen, van, Gerardus"
a::06.6605,"Schellekens, Joannes Baptista [Widow]","Schellekens, Joannes Baptista [Veuve]","Schellekens, Joannes Baptista [Weduwe]"
a::06.6606,"Dezallier, Antoine","Dezallier, Antoine","Dezallier, Antoine"
a::06.6607,"Simons, Guillaume","Simons, Guillaume","Simons, Guillaume"
a::06.6608,"Crajenschot, Theodorus","Crajenschot, Theodorus","Crajenschot, Theodorus"
a::06.6609,"Trotteur, le, Renatus","Trotteur, le, Renatus","Trotteur, le, Renatus"
a::06.6610,"Foppens, Franciscus III","Foppens, François III","Foppens, Franciscus III"
a::06.6611,"Haye, de la, Pierre-Joseph","Haye, de la, Pierre-Joseph","Haye, de la, Pierre-Joseph"
a::06.6612,"Jeune, le, Henri","Jeune, le, Henri","Jeune, le, Henri"
a::06.6613,"Beernaerts, Jacobus II","Beernaerts, Jacobus II","Beernaerts, Jacobus II"
a::06.6614,"Manilius, Gislenus","Manilius, Gislain","Manilius, Gislenus"
a::06.6619,"Lier, van, Pluckhaen [Fictitious printer]","Lier, van, Pluckhaen [Imprimeur fictif]","Lier, van, Pluckhaen [Fictieve drukker]"
a::06.6620,Press of the free provinces of Brabant [Fictitious printer],Imprimerie des provinces brabançonnes libres [Imprimeur fictif],Drukkerij der vrije Brabantse provinciën [Fictieve drukker]
a::06.6621,Papal press [Fictitious printer],Imprimerie apostolique [Imprimeur fictif],Pauselijke drukkerij [Fictieve drukker]
a::06.6622,"Goesin, de, Petrus Franciscus I","Goesin, de, Petrus Franciscus I","Goesin, de, Petrus Franciscus I"
a::06.6623,"Goesin, de, Petrus Franciscus I [Widow]","Goesin, de, Pierre François I [Veuve]","Goesin, de, Petrus Franciscus I [Weduwe]"
a::06.6624,"Leonard, Jean II","Leonard, Jean II","Leonard, Jean II"
a::06.6627,"Liege, Faculty of Law","Liège, Faculté des droits","Luik, Rechtenfaculteit"
a::06.6628,"Guillot, Jean-François-Hubert","Guillot, Jean-François-Hubert","Guillot, Jean-François-Hubert"
a::06.6630,"Velde, vande, Franciscus [widow] & Martinus van Overbeke","Velde, vande, Franciscus [veuve] & Martinus van Overbeke","Velde, vande, Franciscus [weduwe] & Martinus van Overbeke"
a::06.6631,"Hartley, John","Hartley, John","Hartley, John"
a::06.6632,"Eeck, van, Franciscus","Eeck, van, François","Eeck, van, Franciscus"
a::06.6633,"Gambar, R.","Gambar, R.","Gambar, R."
a::06.6634,"Verdussen, Hieronymus V [Widow]","Verdussen, Hieronymus V [Veuve]","Verdussen, Hieronymus V [Weduwe]"
a::06.6635,"Schueren, vander, Joannes-Franciscus","Schueren, vander, Jean-François","Schueren, vander, Joannes-Franciscus"
a::06.6636,"Stéven, André Benoit","Stéven, André Benoit","Stéven, André Benoit"
a::06.6637,"Gaboria, Armand","Gaboria, Armand","Gaboria, Armand"
a::06.6638,"Sloovere, de, Petrus [Widow]","Sloovere, de, Petrus [Veuve]","Sloovere, de, Petrus [Weduwe]"
a::06.6639,Beltiens,Beltiens,Beltiens
a::06.6640,"Wolf, de, Joseph","Wolf, de, Joseph","Wolf, de, Jozef"
a::06.6641,"Rhijn, van, Hendrik","Rhijn, van, Hendrik","Rhijn, van, Hendrik"
a::06.6642,"Hey, vander, Henri Pierre","Hey, vander, Henri Pierre","Hey, vander, Henricus Petrus"
a::06.6643,"Croock, de, Hubertus","Croock, de, Hubertus","Croock, de, Hubertus"
a::06.6644,Company,Compagnie,Compagnie
a::06.6645,"Verbeek, Johannes & Herman","Verbeek, Johannes & Herman","Verbeek, Johannes & Herman"
a::06.6646,"Durand, Pierre-Etienne-Germain","Durand, Pierre-Etienne-Germain","Durand, Pierre-Etienne-Germain"
a::06.6647,"Jouret, Jacobus Bernardus [Widow]","Jouret, Jacobus Bernardus [Veuve]","Jouret, Jacobus Bernardus [Weduwe]"
a::06.6648,"Jouret, Jacobus Bernardus","Jouret, Jacques Bernard","Jouret, Jacobus Bernardus"
a::06.6649,"Stryckwant, Gielis II [Widow]","Stryckwant, Gilles II [Veuve]","Stryckwant, Gielis II [Weduwe]"
a::06.6650,"Collignes, P.","Collignes, P.","Collignes, P."
a::06.6655,Press of the nations,Imprimerie des nations,Drukkerij der naties
a::06.6657,"Praet, van, Jozef & son","Praet, van, Jozef & fils","Praet, van, Jozef & zoon"
a::06.6658,"Graet, Augustinus Ignatius","Graet, Augustin Ignace","Graet, Augustinus Ignatius"
a::06.6659,"Jacobs, Nicolaas","Jacobs, Nicolas","Jacobs, Nicolaas"
a::06.6660,"Bogaert, Jozef & son","Bogaert, Joseph & fils","Bogaert, Jozef & zoon"
a::06.6661,"Barbou, Hugues","Barbou, Hugues","Barbou, Hugues"
a::06.6662,"Bruyn, Antoine","Bruyn, Antoine","Bruyn, Antoine"
a::06.6664,"Bruck, P.","Bruck, P.","Bruck, P."
a::06.6665,Stroykens,Stroykens,Stroykens
a::06.6668,"Mackay, Dionysius","Mackay, Dionysius","Mackay, Dionysius"
a::06.6669,"Clercq, de","Clercq, de","Clercq, de"
a::06.6670,"Blanchet, Jean Xavier","Blanchet, Jean Xavier","Blanchet, Jean Xavier"
a::06.6671,"Varlé, Romain","Varlé, Romain","Varlé, Romain"
a::06.6672,Lannoi [jr.],Lannoi [jr.],Lannoi [jr.]
a::06.6673,"Jacquez, Ignace-Joseph","Jacquez, Ignace-Joseph","Jacquez, Ignace-Joseph"
a::06.6674,Bugnies,Bugnies,Bugnies
a::06.6675,"Emery, Pierre","Emery, Pierre","Emery, Pierre"
a::06.6676,"Thielens, Antheunis","Thielens, Antoine","Thielens, Antheunis"
a::06.6677,"Schilg, Johann Baptist [Heirs]","Schilg, Johann Baptist [Héritiers]","Schilg, Johann Baptist [Erfgenamen]"
a::06.6678,"Backer, de, Georgius","Backer, de, Georges","Backer, de, Georgius"
a::06.6679,"Rave, de, Petrus Jacobus","Rave, de, Petrus Jacobus","Rave, de, Petrus Jacobus"
a::06.6680,"t'Serstevens, Franciscus II [Widow]","t'Serstevens, François II [Veuve]","t'Serstevens, Franciscus II [Weduwe]"
a::06.6685,Press of the religion [Fictitious printer],Imprimerie de la religion [Imprimeur fictif],Drukkerij van de godsdienst [Fictieve drukker]
a::06.6686,"Keuremenne, van, Ernestus [Fictitious printer]","Keuremenne, van, Ernestus [Imprimeur fictif]","Keuremenne, van, Ernestus [Fictieve drukker]"
a::06.6688,"Stock, P.","Stock, P.","Stock, P."
a::06.6689,Court press,Imprimerie de la cour,Hofdrukkerij
a::06.6691,Press of truth [Fictitious printer],Presse de la vérité [Imprimeur fictif],Drukkerij der waarheid [Fictieve drukker]
a::06.6692,"Desprez, Guillaume-Nicolas","Desprez, Guillaume-Nicolas","Desprez, Guillaume-Nicolas"
a::06.6693,"Elmsley, Peter","Elmsley, Peter","Elmsley, Peter"
a::06.6694,"Bogaert, Jozef","Bogaert, Joseph","Bogaert, Jozef"
a::06.6696,"Waen, Jan","Waen, Jean","Waen, Jan"
a::06.6697,"Lom, van, Christiaan","Lom, van, Christiaan","Lom, van, Christiaan"
a::06.6698,"Salenson, van, Gerard [Widow]","Salenson, van, Gerard [Veuve]","Salenson, van, Gerard [Weduwe]"
a::06.6699,"Buisson, François","Buisson, François","Buisson, François"
a::06.6700,Perisse [Brothers],Perisse [Frères],Perisse [Gebroeders]
a::06.6701,"Bergeret, François","Bergeret, François","Bergeret, François"
a::06.6702,Frères,Frères,Frères
a::06.6703,"Levrault, François-Georges","Levrault, François-Georges","Levrault, François-Georges"
a::06.6704,"Charlier, le, L.","Charlier, le, L.","Charlier, le, L."
a::06.6705,Demazeaux,Demazeaux,Demazeaux
a::06.6706,Latour,Latour,Latour
a::06.6707,Paschoud,Paschoud,Paschoud
a::06.6708,Luquiens,Luquiens,Luquiens
a::06.6709,"Decker, J.","Decker, J.","Decker, J."
a::06.6710,"Changuion, Daniel Jean","Changuion, Daniel Jean","Changuion, Daniel Jean"
a::06.6711,"Dufour, Jacques-Edme-Gabriel","Dufour, Jacques-Edme-Gabriel","Dufour, Jacques-Edme-Gabriel"
a::06.6712,"Detune, Jacques","Detune, Jacques","Detune, Jacques"
a::06.6713,Fouquet,Fouquet,Fouquet
a::06.6714,"Swinters, Anna","Swinters, Anna","Swinters, Anna"
a::06.6715,"Coppens van Diest, Gillis I","Coppens van Diest, Gillis I","Coppens van Diest, Gillis I"
a::06.6716,"Bogardus, Joannes I","Bogardus, Joannes I","Bogardus, Joannes I"
a::06.6722,"Ortelius, Abraham","Ortelius, Abraham","Ortelius, Abraham"
a::06.6723,"Gallet, George","Gallet, George","Gallet, George"
a::06.6724,"Herissant, Jean-Thomas II","Herissant, Jean-Thomas II","Herissant, Jean-Thomas II"
a::06.6725,"Vleminckx, Henricus, Emmanuel Flon & Jean Thomas II Herissant","Vleminckx, Henricus, Emmanuel Flon & Jean Thomas II Herissant","Vleminckx, Henricus, Emmanuel Flon & Jean Thomas II Herissant"
a::06.6727,"Bassompierre, Jean-François II","Bassompierre, Jean-François II","Bassompierre, Jean-François II"
a::06.6728,"Lemarié, François","Lemarié, François","Lemarié, François"
a::06.6729,"Regnard, Antoine Louis","Regnard, Antoine Louis","Regnard, Antoine Louis"
a::06.6731,"Lhomandie, J.F.","Lhomandie, J.F.","Lhomandie, J.F."
a::06.6733,"Rieger, Mathias","Rieger, Mathieu","Rieger, Mathias"
a::06.6734,"Chevalier, André [Heirs]","Chevalier, André [Héritiers]","Chevalier, André [Erfgenamen]"
a::06.6740,"Morel, Féderic II & Pierre Mettayer","Morel, Féderic II & Pierre Mettayer","Morel, Féderic II & Pierre Mettayer"
a::06.6754,"Tielenburg, Gerrit","Tielenburg, Gerrit","Tielenburg, Gerrit"
a::06.6760,"Aa, van der, Pieter I","Aa, van der, Pieter I","Aa, van der, Pieter I"
a::06.6761,"Muller, Philippe","Muller, Philippe","Muller, Philippe"
a::06.6762,"Fickaert, Frans II [Widow and heirs]","Fickaert, Frans II [Veuve et héritiers]","Fickaert, Frans II [Weduwe en erfgenamen]"
a::06.6763,"Hey, vander, Conradus Ignatius [Widow]","Hey, vander, Conradus Ignatius [Veuve]","Hey, vander, Conradus Ignatius [Weduwe]"
a::06.6764,Dorville,Dorville,Dorville
a::06.6765,"Hérissant, Claude-Jean-Baptiste II","Hérissant, Claude-Jean-Baptiste II","Hérissant, Claude-Jean-Baptiste II"
a::06.6766,"Neaulme, Jean","Neaulme, Jean","Neaulme, Jean"
a::06.6767,"Jorry, Sébastien","Jorry, Sébastien","Jorry, Sébastien"
a::06.6768,"Moens, Jacques [Fictitious printer]","Moens, Jacques [Imprimeur fictif]","Moens, Jacobus [Fictieve drukker]"
a::06.6769,"Pauwels, P.","Pauwels, P.","Pauwels, P."
a::06.6770,"Prault, Pierre","Prault, Pierre","Prault, Pierre"
a::06.6771,"Bronckart, Guillaume Ignace","Bronckart, Guillaume Ignace","Bronckart, Guillaume Ignace"
a::06.6773,"Raphelengius, Franciscus I","Raphelengius, Franciscus I","Raphelengius, Franciscus I"
a::06.6774,"Streel, N.","Streel, N.","Streel, N."
a::06.6775,"Streel, Guilielmus Henricus","Streel, Guilielmus Henricus","Streel, Guilielmus Henricus"
a::06.6776,"Metelen, van, Joachim","Metelen, van, Joachim","Metelen, van, Joachim"
a::06.678,"Flavius, Joannes Christophorus","Flavius, Joannes Christophorus","Flavius, Joannes Christophorus"
a::06.6795,"Ralliot, Nicolas [Fictitious printer]","Ralliot, Nicolas [Imprimeur fictif]","Ralliot, Nicolas [Fictieve drukker]"
a::06.6797,"Verdussen, Hieronymus III [Widow]","Verdussen, Hieronymus III [Veuve]","Verdussen, Hieronymus III [Weduwe]"
a::06.6798,"Colles, Guillaume [Fictitious printer]","Colles, Guillaume [Imprimeur fictif]","Colles, Guillaume [Fictieve drukker]"
a::06.6799,"Frisius, Andreas","Frisius, Andreas","Frisius, Andreas"
a::06.6802,"Verdussen, Henricus I","Verdussen, Henricus I","Verdussen, Henricus I"
a::06.6804,"Matthieu, Simon","Matthieu, Simon","Matthieu, Simon"
a::06.6805,"Diericx, Franciscus","Diericx, Franciscus","Diericx, Franciscus"
a::06.6815,"Welbergen, van, Hendrik Willem","Welbergen, van, Hendrik Willem","Welbergen, van, Hendrik Willem"
a::06.6816,"Naulaeus, Jacobus","Naulaeus, Jacobus","Naulaeus, Jacobus"
a::06.6817,"Gravius, Jacobus [Widow] [Fictitious printer]","Gravius, Jacobus [Weduwe] [Imprimeur fictif]","Gravius, Jacobus [Weduwe] [Fictieve drukker]"
a::06.6822,"Danthez, Pierre","Danthez, Pierre","Danthez, Pierre"
a::06.6823,"Campo, del, Giovanni [Heirs] [Fictitious printer]","Campo, del, Giovanni [Héritiers] [Imprimeur fictif]","Campo, del, Giovanni [Erfgenamen] [Fictieve drukker]"
a::06.6826,"Peeters, Jacobus","Peeters, Jacques","Peeters, Jacobus"
a::06.6829,Vieillevoye,Vieillevoye,Vieillevoye
a::06.6830,"t'Serstevens, Gilles","t'Serstevens, Gilles","t'Serstevens, Gilles"
a::06.6831,"Frisq, Antoine [Fictitious printer]","Frisq, Antoine [Imprimeur fictif]","Frisq, Antoine [Fictieve drukker]"
a::06.6832,"Noethen, Servas","Noethen, Servas","Noethen, Servas"
a::06.6837,"Metternich, Arnold","Metternich, Arnold","Metternich, Arnold"
a::06.6839,"Foppens, Franciscus I [Heirs]","Foppens, Franciscus I [Héritiers]","Foppens, Franciscus I [Erfgenamen]"
a::06.6840,"Hacquebaud, Pierre","Hacquebaud, Pierre","Hacquebaud, Pierre"
a::06.6841,"Poelman, Josephus","Poelman, Joseph","Poelman, Josephus"
a::06.6843,"Fabri, Petrus","Fabri, Petrus","Fabri, Petrus"
a::06.6844,"Schipper, Jan Jacobsz","Schipper, Jan Jacobsz","Schipper, Jan Jacobsz"
a::06.6848,"Sassenus, Simon","Sassenus, Simon","Sassenus, Simon"
a::06.6849,"Eckert van Homberch, Henrick","Eckert van Homberch, Henrick","Eckert van Homberch, Henrick"
a::06.6850,"Wetstein, Henricus","Wetstein, Henricus","Wetstein, Henricus"
a::06.6851,"Bouttats, Philibertus (sr.)","Bouttats, Philibertus (sr.)","Bouttats, Philibertus (sr.)"
a::06.6852,"Peetersen van Middelburch, Heyndrick","Peetersen van Middelburch, Heyndrick","Peetersen van Middelburch, Heyndrick"
a::06.6853,"Braumeurs, van, Pierre [Fictitious printer]","Braumeurs, van, Pierre [Imprimeur fictif]","Braumeurs, van, Pierre [Fictieve drukker]"
a::06.6854,Huguetan [Brothers],Huguetan [Frères],Huguetan [Gebroeders]
a::06.6855,"Couterot, Edme II","Couterot, Edme II","Couterot, Edme II"
a::06.6856,"Roy, le, Jacques","Roy, le, Jacques","Roy, le, Jacques"
a::06.6857,"Moerman, Jacobus Franciscus","Moerman, Jacobus Franciscus","Moerman, Jacobus Franciscus"
a::06.6858,"Voorvechter, Claes [Fictitious printer]","Voorvechter, Claes [Imprimeur fictif]","Voorvechter, Claes [Fictieve drukker]"
a::06.6859,"Kerchove, vanden, Lucas & Bernardus-Benedictus","Kerchove, vanden, Lucas & Bernardus-Benedictus","Kerchove, vanden, Lucas & Bernardus-Benedictus"
a::06.6873,"Verhulst, Jan Baptist","Verhulst, Jean Baptiste","Verhulst, Jan Baptist"
a::06.6874,"Cleyn, de, Pieter","Cleyn, de, Pierre","Cleyn, de, Pieter"
a::06.6875,"Verdussen, H.I.","Verdussen, H.I.","Verdussen, H.I."
a::06.6877,"Kerchove, van den, Bernardus-Benedictus","Kerchove, van den, Bernardus-Benedictus","Kerchove, van den, Bernardus-Benedictus"
a::06.6878,"Pee, van, Josse","Pee, van, Josse","Pee, van, Josse"
a::06.6881,"Ghent, urbanists","Gand, urbanistes","Gent, urbanisten"
a::06.6882,"Dijck, van, Pieter [Fictitious printer]","Dijck, van, Pieter [Imprimeur fictif]","Dijck, van, Pieter [Fictieve drukker]"
a::06.6883,"Berghen, van, Adriaen","Berghen, van, Adriaen","Berghen, van, Adriaen"
a::06.6884,"Verdussen, Hieronymus VI","Verdussen, Hieronymus VI","Verdussen, Hieronymus VI"
a::06.6886,"Perez de Arta y Loyola, Joseph","Perez de Arta y Loyola, Joseph","Perez de Arta y Loyola, Joseph"
a::06.6888,"Rheindorff, Joannes","Rheindorff, Joannes","Rheindorff, Joannes"
a::06.6891,"Bruers, Alexander Antonius","Bruers, Alexander Antonius","Bruers, Alexander Antonius"
a::06.6895,"Sommaville, de, Antoine III","Sommaville, de, Antoine III","Sommaville, de, Antoine III"
a::06.6899,"Courbé, Augustin","Courbé, Augustin","Courbé, Augustin"
a::06.6900,"Musier, Jean","Musier, Jean","Musier, Jean"
a::06.6901,"Saint-Aubin, de, Jean","Saint-Aubin, de, Jean","Saint-Aubin, de, Jean"
a::06.6904,Andreas Paulus Colpyn [Widow],Andreas Paulus Colpyn [Veuve],"Colpyn, Andreas Paulus [Weduwe]"
a::06.6905,"Fauconier, Leonard","Fauconier, Leonard","Fauconier, Leonard"
a::06.6909,"Kints, Petrus","Kints, Pierre","Kints, Petrus"
a::06.6920,"Goes, van der, Mathias","Goes, van der, Mathias","Goes, van der, Mathias"
a::06.6921,"Back, Goovaert","Back, Goovaert","Back, Goovaert"
a::06.6922,"Leeu, Geraert","Leeu, Geraert","Leeu, Geraert"
a::06.6923,"Martens, Dirk","Martens, Thierry","Martens, Dirk"
a::06.6928,"Stock, P. & son","Stock, P. & fils","Stock, P. & zoon"
a::06.6929,"Bloemen, van, Willem","Bloemen, van, Willem","Bloemen, van, Willem"
a::06.6931,"Liesvelt, van, Jacob","Liesvelt, van, Jacob","Liesvelt, van, Jacob"
a::06.6932,"Glénisson, J.E. & A. van Genechten","Glénisson, J.E. & A. van Genechten","Glénisson, J.E. & A. van Genechten"
a::06.6934,"Halle, treasurer of the church of Our Lady of Halle","Halle, trésorier de l'église de Notre-Dame","Halle, schatbewaarder van de kerk van O.L.-Vrouw"
a::06.6936,"Huyssens, Joannes","Huyssens, Joannes","Huyssens, Joannes"
a::06.6937,"Blehen, de, Guilielmus","Blehen, de, Guilielmus","Blehen, de, Guilielmus"
a::06.6939,"Metternich, von, Peter [Fictitious printer]","Metternich, von, Peter [Imprimeur fictif]","Metternich, von, Peter [Fictieve drukker]"
a::06.6940,"Lucas, Etienne","Lucas, Etienne","Lucas, Etienne"
a::06.6955,"Ursel, van, Antonius-Franciscus","Ursel, van, Antonius-Franciscus","Ursel, van, Antonius-Franciscus"
a::06.6957,"Rivière, de la, Nicolas [Fictitious printer]","Rivière, de la, Nicolas [Imprimeur fictif]","Rivière, de la, Nicolas [Fictieve drukker]"
a::06.6958,"Nelis, Cornelius Franciscus","Nelis, Corneille-François","Nelis, Cornelius Franciscus"
a::06.696,"Witte, de, Everardus","Witte, de, Everardus","Witte, de, Everaert"
a::06.6963,"Bullart, Isaac","Bullart, Isaac","Bullart, Isaac"
a::06.6964,"Billaine, Louis","Billaine, Louis","Billaine, Louis"
a::06.6965,"Wyns, Johannes","Wyns, Johannes","Wyns, Johannes"
a::06.6966,"Bonhomme, H.J.","Bonhomme, H.J.","Bonhomme, H.J."
a::06.6968,"Labus, Pierre","Labus, Pierre","Labus, Pierre"
a::06.6970,"Schovardts, François","Schovardts, François","Schovardts, François"
a::06.6971,"Somers, Servais [Widow]","Somers, Servais [Veuve]","Somers, Servais [Weduwe]"
a::06.6972,"Bock, de, Joannes Franciscus","Bock, de, Joannes Franciscus","Bock, de, Joannes Franciscus"
a::06.6973,"Kuypers, W.","Kuypers, W.","Kuypers, W."
a::06.6974,"Cnobbaert, Michiel & Augustinus Graet","Cnobbaert, Michiel & Augustinus Graet","Cnobbaert, Michiel & Augustinus Graet"
a::06.6981,"Belley, Nicolas","Belley, Nicolas","Belley, Nicolas"
a::06.6986,"Leguerrier, Augustin","Leguerrier, Augustin","Leguerrier, Augustin"
a::06.6987,"Brunet, Michel II","Brunet, Michel II","Brunet, Michel II"
a::06.6988,"Coenesteyn, Cypriaan & Jacobus de Gosin","Coenesteyn, Cypriaan & Jacobus de Gosin","Coenesteyn, Cypriaan & Jacobus de Gosin"
a::06.6990,"Hacquebaud, Guillaume [Widow]","Hacquebaud, Guillaume [Veuve]","Hacquebaud, Guillaume [Weduwe]"
a::06.6996,"Petit, le, Jacques [Fictitious printer]","Petit, le, Jacques [Imprimeur fictif]","Petit, le, Jacques [Fictieve drukker]"
a::06.7008,"Bellerus, Balthazar I & Jan van Keerbergen","Bellerus, Balthazar I & Jan van Keerbergen","Bellerus, Balthazar I & Jan van Keerbergen"
a::06.7019,"Troyens, Jasper I","Troyens, Jasper I","Troyens, Jasper I"
a::06.7020,"Verhaghen, Peeter","Verhaghen, Peeter","Verhaghen, Peeter"
a::06.7021,"Liesvelt, van, Jacob [Widow]","Liesvelt, van, Jacob [Veuve]","Liesvelt, van, Jacob [Weduwe]"
a::06.7022,"Alexandre, N.","Alexandre, N.","Alexandre, N."
a::06.7026,"Assche, van, C.","Assche, van, C.","Assche, van, C."
a::06.7027,"Grasset, Franciscus","Grasset, Franciscus","Grasset, Franciscus"
a::06.7029,"Bergh, van den, Pierre","Bergh, van den, Pierre","Bergh, van den, Pierre"
a::06.7030,"Bousquet, Marc-Michel, & company","Bousquet, Marc-Michel, & compagnie","Bousquet, Marc-Michel, & compagnie"
a::06.7032,"Paets, Pieter Jacobsz","Paets, Pieter Jacobsz","Paets, Pieter Jacobsz"
a::06.7034,"Smits, Jan Bernard","Smits, Jan Bernard","Smits, Jan Bernard"
a::06.7035,"Loyson, Étienne","Loyson, Étienne","Loyson, Étienne"
a::06.7036,"Garrel, Jean","Garrel, Jean","Garrel, Jean"
a::06.7037,"Bellerus, Petrus I","Bellerus, Petrus I","Bellerus, Petrus I"
a::06.7040,"Stravius, Ernestus","Stravius, Ernestus","Stravius, Ernestus"
a::06.7041,"Gravius, Bartholomeus, Anthoni Maria Bergaigne & Jan Waen","Gravius, Bartholomeus, Anthoni Maria Bergaigne & Jan Waen","Gravius, Bartholomeus, Anthoni Maria Bergaigne & Jan Waen"
a::06.7046,"Gulpen, van, Gysbertus [Widow]","Gulpen, van, Gysbertus [Veuve]","Gulpen, van, Gysbertus [Weduwe]"
a::06.7047,"Horen, van, J.J.","Horen, van, J.J.","Horen, van, J.J."
a::06.7048,"Berghe, vanden, Anthony [Fictitious printer]","Berghe, vanden, Antoine [Imprimeur fictif]","Berghe, vanden, Antoon [Fictieve drukker]"
a::06.7049,"Keyser, de, Merten","Keyser, de, Merten","Keyser, de, Merten"
a::06.7050,"Vitré, Antoine","Vitré, Antoine","Vitré, Antoine"
a::06.7052,"Danel, Liévin","Danel, Liévin","Danel, Liévin"
a::06.7056,"Westfalia Paderbornensis, de, Joannes","Westfalia Paderbornensis, de, Joannes","Westfalia Paderbornensis, de, Joannes"
a::06.7058,"Schellekens, Joannes Baptista","Schellekens, Joannes Baptista","Schellekens, Joannes Baptista"
a::06.7059,"Tavernier, Ameet I [Veuve]","Tavernier, Ameet I [Widow]","Tavernier, Ameet I [Weduwe]"
a::06.7061,"Keyser, de, Merten [Widow]","Keyser, de, Merten [Veuve]","Keyser, de, Merten [Weduwe]"
a::06.7062,"Coccius, Joannes","Coccius, Joannes","Coccius, Joannes"
a::06.7063,"Vervliet, Daniël & Hendrik Swingen","Vervliet, Daniël & Hendrik Swingen","Vervliet, Daniël & Hendrik Swingen"
a::06.7064,"Wouw, van, Hillebrant Jacobsz I","Wouw, van, Hillebrant Jacobsz I","Wouw, van, Hillebrant Jacobsz I"
a::06.7065,"Cloppenburgh, Jan Evertsz I","Cloppenburgh, Jan Evertsz I","Cloppenburgh, Jan Evertsz I"
a::06.7066,Bellevue [Fictitious printer],Bellevue [Imprimeur fictif],Bellevue [Fictieve drukker]
a::06.7067,Press of the Belgians [Fictitious printer],Imprimerie des Belges [Imprimeur fictif],Drukkerij van de Belgen [Fictieve drukker]
a::06.7068,"Geuns, P.","Geuns, P.","Geuns, P."
a::06.7071,Vase,Vase,Vase
a::06.7072,"De Lafosse, Jean-Baptiste","De Lafosse, Jean-Baptiste","De Lafosse, Jean-Baptiste"
a::06.7073,Free press [Fictitious printer],Presse libre [Imprimeur fictif],Vrije drukpers [Fictieve drukker]
a::06.7075,"Walwein, Thomas Franciscus [Widow]","Walwein, Thomas Franciscus [Veuve]","Walwein, Thomas Franciscus [Weduwe]"
a::06.7076,"Vannes, G.","Vannes, G.","Vannes, G."
a::06.7077,True friends of liberty [Fictitious printer],Vrais amis de la liberté [Imprimeur fictif],Ware vrienden van de vrijheid [Fictieve drukker]
a::06.7078,cowshed of Jan Baptist Vonck deceased [Fictitious printer],étable à vaches de Jan Baptist Vonck décédé [Imprimeur fictif],koestal van wijlen Jan Baptist Vonck [Fictieve drukker]
a::06.7080,Speaker of the Estates General,Orateur des Etats Généraux,Spreker van de Staten-Generaal
a::06.7083,"Simon, Maximilien-Joseph-Guislain","Simon, Maximilien-Joseph-Guislain","Simon, Maximilien-Joseph-Guislain"
a::06.7084,"Hese, van, Franciscus","Hese, van, François","Hese, van, Franciscus"
a::06.7088,Heavenly press [Fictitious printer],Imprimerie céleste [Imprimeur fictif],Hemelse drukkerij [Fictieve drukker]
a::06.7093,"Caju, du, Jean-Jacques","Caju, du, Jean-Jacques","Caju, du, Jean-Jacques"
a::06.7097,Printer who loves to sell [Fictitious printer],Libraire qui aime à vendre [Imprimeur fictif],Drukker die graag verkoopt [Fictieve drukker]
a::06.7098,"Drukkerij van Peeters, recht tegenover die van Pauwels [Fictitious printer]","Drukkerij van Peeters, recht tegenover die van Pauwels [Imprimeur fictif]","Drukkerij van Peeters, recht tegenover die van Pauwels [Fictieve drukker]"
a::06.7100,"Bocquet, Nicolas Joseph","Bocquet, Nicolas Joseph","Bocquet, Nicolas Joseph"
a::06.7105,"Fricx, Eugenius Henricus II [Heirs]","Fricx, Eugenius Henricus II [Héritiers]","Fricx, Eugenius Henricus II [Erfgenamen]"
a::06.7107,"Putte, van der, Abraham II","Putte, van der, Abraham II","Putte, van der, Abraham II"
